asset,test,restricted_parameters,statistic,p_value,df,nobs,holm_p_value,family,significant_holm_5pct,shift_months,boundary_rule,verdict,scope,evidence_class,hypothesis,replication_status
portfolio_excess_return__investment_to_assets__decile_02,joint_regime_factor_interactions,10.0,125.74807723388369,3.4347094177633007e-22,10.0,648.0,4.56816352562519e-20,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_02,joint_rate_beta_regime_interactions,5.0,11.849501548258198,0.03690917359212786,5.0,648.0,0.775092645434685,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_03,joint_regime_factor_interactions,10.0,39.672356927456896,1.934987877874758e-05,10.0,648.0,0.0011662432914478448,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_03,joint_rate_beta_regime_interactions,5.0,14.660481320871162,0.011915963953068437,5.0,648.0,0.33364699068591624,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_04,joint_regime_factor_interactions,10.0,24.847058536833448,0.005643064170382263,10.0,648.0,0.1805780534522324,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_04,joint_rate_beta_regime_interactions,5.0,8.552538702002092,0.12829897937344042,5.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_05,joint_regime_factor_interactions,10.0,43.9194714261537,3.4031186861352456e-06,10.0,648.0,0.0002382183080294672,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_05,joint_rate_beta_regime_interactions,5.0,20.259471955480787,0.0011170718601084917,5.0,648.0,0.04915116184477363,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_06,joint_regime_factor_interactions,10.0,12.239989699319247,0.2693159683877721,10.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_06,joint_rate_beta_regime_interactions,5.0,7.480201634176339,0.1873053773893033,5.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
